"","iso_code","continent","location","last_updated_date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"51","CYP","Europe","Cyprus",2021-04-22,59792,927,835.429,296,1,1.857,68263.578,1058.341,953.796,337.939,1.142,2.12,1.27,36,41.101,271,309.396,26.632,30.405,166.696,190.314,53024,4770915,5446.878,60.537,57958,66.17,0.014,72.3,"tests performed",219654,161389,58265,4979,3635,25.08,18.43,6.65,4150,NA,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,0.887
"52","CZE","Europe","Czechia",2021-04-22,1612832,2971,2712.143,28787,76,79.714,150605.538,277.431,253.259,2688.117,7.097,7.444,0.8,899,83.948,4032,376.506,1707.398,159.436,7561.622,706.101,159253,NA,NA,14.871,149683,13.977,0.017,58.8,"tests performed",2719610,1794701,924935,67046,50624,25.4,16.76,8.64,4727,59.26,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,0.9
"53","COD","Africa","Democratic Republic of Congo",2021-04-22,29350,117,83,752,4,1,327.708,1.306,0.927,8.396,0.045,0.011,1.02,NA,NA,NA,NA,NA,NA,NA,NA,307,NA,NA,0.003,345,0.004,0.215,4.7,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,NA,NA,4.472,NA,60.68,0.48
"54","DNK","Europe","Denmark",2021-04-22,246455,893,776,2468,2,2.571,42549.441,154.173,133.973,426.09,0.345,0.444,1.09,35,6.043,181,31.249,NA,NA,188.008,32.459,171691,24322447,4199.17,29.642,176867,30.535,0.004,269,"tests performed",1691219,1142046,549173,35274,29235,29.2,19.72,9.48,5047,64.81,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94
"55","DJI","Africa","Djibouti",2021-04-22,10697,64,60.286,130,1,2.857,10826.901,64.777,61.018,131.579,1.012,2.892,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10246,10246,NA,NA,NA,1.04,1.04,NA,NA,NA,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,NA,1.4,67.11,0.524
"56","DMA","North America","Dominica",2021-04-22,172,0,1,NA,NA,0,2389.188,0,13.891,NA,NA,0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18423,17948,475,NA,28,25.59,24.93,0.66,389,29.63,71991,98.567,NA,NA,NA,9673.367,NA,227.376,11.62,NA,NA,NA,3.8,75,0.742
"57","DOM","North America","Dominican Republic",2021-04-22,262935,531,470.857,3441,6,5.143,24238.323,48.95,43.405,317.204,0.553,0.474,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1378669,127.091,NA,3002,0.277,0.153,6.5,"samples tested",1509898,909898,6e+05,NA,39935,13.92,8.39,5.53,3681,70.37,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
"58","ECU","South America","Ecuador",2021-04-22,365393,2550,1423.143,17965,161,68,20710.296,144.533,80.663,1018.247,9.125,3.854,1.07,NA,NA,NA,NA,NA,NA,NA,NA,6607,1186632,67.258,0.374,3723,0.211,0.399,2.5,"people tested",601229,421937,179292,23518,19984,3.41,2.39,1.02,1133,65.28,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759
"59","EGY","Africa","Egypt",2021-04-22,219774,872,853.714,12914,48,43.286,2147.606,8.521,8.342,126.194,0.469,0.423,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.04,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707
"60","SLV","North America","El Salvador",2021-04-22,68161,154,151.714,2089,3,3.571,10508.617,23.743,23.39,322.068,0.463,0.551,0.87,NA,NA,NA,NA,NA,NA,NA,NA,2487,892564,137.61,0.383,2308,0.356,0.065,15.4,"tests performed",2e+05,622912,15456,NA,8000,3.08,9.6,0.24,1233,26.85,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
"61","GNQ","Africa","Equatorial Guinea",2021-04-22,7505,0,35.143,106,0,0,5349.309,0,25.049,75.553,0,0,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55799,47410,8389,NA,3453,3.98,3.38,0.6,2461,NA,1402985,45.194,22.4,2.846,1.752,22604.873,NA,202.812,7.78,NA,NA,24.64,2.1,58.74,0.592
"62","ERI","Africa","Eritrea",2021-04-22,3597,33,15.857,10,0,0,1014.26,9.305,4.471,2.82,0,0,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.19,3546427,44.304,19.3,3.607,2.171,1510.459,NA,311.11,6.05,0.2,11.4,NA,0.7,66.32,0.459
"63","EST","Europe","Estonia",2021-04-22,119218,429,431.143,1120,11,8,89871.463,323.398,325.013,844.302,8.292,6.031,0.78,52,39.2,474,357.321,39.927,30.098,282.481,212.946,5641,1249765,942.125,4.252,5054,3.81,0.089,11.2,"tests performed",385612,295744,89868,2065,5259,29.07,22.29,6.77,3964,61.11,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,0.892
"64","SWZ","Africa","Eswatini",2021-04-22,18426,3,2,671,0,0.143,15882.237,2.586,1.724,578.367,0,0.123,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31846,31846,NA,NA,386,2.74,2.74,NA,333,NA,1160164,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611
"65","ETH","Africa","Ethiopia",2021-04-22,247989,1505,1633.571,3496,22,30.143,2157.109,13.091,14.209,30.41,0.191,0.262,0.94,NA,NA,NA,NA,NA,NA,NA,NA,7041,2528645,21.995,0.061,7168,0.062,0.232,4.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,43.52,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485
"66","OWID_EUR",NA,"Europe",2021-04-22,43758336,189894,161407.429,992258,3638,3344.714,58447.31,253.638,215.589,1325.343,4.859,4.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194388010,140337932,53415371,2803133,3209573,25.96,18.74,7.13,4287,NA,748680069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","OWID_EUN",NA,"European Union",2021-04-22,29891756,151615,128427.714,671724,2526,2357.714,67184.705,340.77,288.654,1509.767,5.677,5.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124331339,90809559,33226861,2310468,2405261,27.94,20.41,7.47,5406,NA,444919060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
